lote_interno,coste_componente_unitario,componente
2108-018,0.65,MAT033
2109-026,0.675,MAT033
2109-118,0.725,MAT033
2109-132,0.725,MAT033
2110-121,0.725,MAT033
2111-113,0.8055,MAT033
2112-001,0.8055,MAT033
2112-078,0.8055,MAT033
2202-014,0.8055,MAT033
2203-021,0.8541,MAT033
2203-056,0.8541,MAT033
2203-154,0.89,MAT033
2204-040,0.89,MAT033
2205-091,1.1069,MAT033
2206-044,1.1069,MAT033
2206-079,1.1069,MAT033
2207-033,1.1069,MAT033
2207-060,1.16,MAT033
2208-051,1.296,MAT033
2209-024,1.4395,MAT033
2209-084,1.431,MAT033
2209-123,1.431,MAT033
2210-071,1.431,MAT033
2211-042,1.431,MAT033
2211-134,1.431,MAT033
2212-042,1.431,MAT033
2212-075,1.431,MAT033
2212-076,1.593,MAT033
2301-082,1.593,MAT033
2302-037,1.27,MAT033
2304-079,1.27,MAT033
2306-035,1.27,MAT033
2307-065,1.27,MAT033
2308-071,1.27,MAT033
2310-011,1.23,MAT033
2311-003,1.18,MAT033
2312-019,1.15,MAT033
2401-056,1.15,MAT033
2402-032,1.1,MAT033
2403-083,1.1,MAT033
2405-014,1.05,MAT033
2406-003,1.05,MAT033
2406-093,0.98,MAT033
2407-110,0.95,MAT033
2409-039,0.96,MAT033
2410-064,1.0,MAT033
2411-064,1.0,MAT033
2412-042,1.0,MAT033
2501-045,1.01,MAT033
2503-070,0.71,MAT033
2503-072,0.71,MAT033
1901-024,5.9,MAT034
1901-058,6.5,MAT034
1902-001,5.9,MAT034
1902-035,5.9,MAT034
1903-001,5.9,MAT034
1904-015,6.5,MAT034
1904-028,5.9,MAT034
1906-045,6.5,MAT034
1908-007,6.6,MAT034
1908-028,7.53,MAT034
1909-024,7.53,MAT034
1909-070,6.8,MAT034
1910-095,6.8,MAT034
1911-080,6.8,MAT034
1912-033,6.8,MAT034
1901-016,2.97,MAT035
1901-025,5.3,MAT035
1901-062,5.3,MAT035
1902-002,5.3,MAT035
1902-007,5.5,MAT035
1902-018,5.3,MAT035
1902-033,2.97,MAT035
1902-036,5.3,MAT035
1902-063,5.5,MAT035
1903-002,5.3,MAT035
1903-005,6.0,MAT035
1903-011,5.5,MAT035
