articulo,lote_proveedor,lote_componente,clave_unica
SCRE050,020123,020123,SCRE050-020123
SCRE048,020123,020123,SCRE048-020123
ELAB005,020124,020124,ELAB005-020124
FCAR002,020124,020124,FCAR002-020124
SCRE036,020124,020124,SCRE036-020124
SEM095,020124,020124,SEM095-020124
SEM071,020125,020125,SEM071-020125
SCRE068,020125,020125,SCRE068-020125
SEM046,020125,020125,SEM046-020125
SCRE010,020125,020125,SCRE010-020125
SCRE049,020125,020125,SCRE049-020125
SCRE048,020125,020125,SCRE048-020125
SCRE036,020125,020125,SCRE036-020125
SCRE017,020221,020221,SCRE017-020221
SCRE012,020221,020221,SCRE012-020221
SEM046,020221,020221,SEM046-020221
SCRE013,020221,020221,SCRE013-020221
SCRE019,020221,020221,SCRE019-020221
SCRE011,020221,020221,SCRE011-020221
SCRE014,020221,020221,SCRE014-020221
SCRE018,020221,020221,SCRE018-020221
SCRE046,020222,020222,SCRE046-020222
SCRE031,020222,020222,SCRE031-020222
SEM083,020222,020222,SEM083-020222
SCRE019,020222,020222,SCRE019-020222
SEM074,020222,020222,SEM074-020222
FCAR019,020222,020222,FCAR019-020222
SEM087,020222,020222,SEM087-020222
SEM005,020222,020222,SEM005-020222
SCRE044,020222,020222,SCRE044-020222
SCRE045,020222,020222,SCRE045-020222
SCRE010,020222,020222,SCRE010-020222
SCRE037,020222,020222,SCRE037-020222
FCAR041,020223,020223,FCAR041-020223
SCRE036,020223,020223,SCRE036-020223
SEM087,020223,020223,SEM087-020223
SEM101,020223,020223,SEM101-020223
SCRE038,020223,020223,SCRE038-020223
SEM088,020223,020223,SEM088-020223
SCRE052,020223,020223,SCRE052-020223
SCRE046,020223,020223,SCRE046-020223
SCRE047,020223,020223,SCRE047-020223
FPES004,020223,020223,FPES004-020223
SEM086,020223,020223,SEM086-020223
SEM085,020224,020224,SEM085-020224
SEM118,020224,020224,SEM118-020224
SCRE036,020224,020224,SCRE036-020224
SEM102,020225,020225,SEM102-020225
SEM085,020225,020225,SEM085-020225
SCRE046,020225,020225,SCRE046-020225
FCAR002,020225,020225,FCAR002-020225
FCAR031,020225,020225,FCAR031-020225
FCAR024,020225,020225,FCAR024-020225
SCRE036,020225,020225,SCRE036-020225
FPER053,020225,020225,FPER053-020225
SEM101,020225,020225,SEM101-020225
SCRE042,020225,020225,SCRE042-020225
FCAR005,020319,020319,FCAR005-020319
FCAR019,020319,020319,FCAR019-020319
SEM004,020320,020320,SEM004-020320
SCCO002,020320,020320,SCCO002-020320
FCAR031,020320,020320,FCAR031-020320
FCAR002,020320,020320,FCAR002-020320
FCAR024,020320,020320,FCAR024-020320
FCAR017,020320,020320,FCAR017-020320
FPOS008,020320,020320,FPOS008-020320
FCAR019,020320,020320,FCAR019-020320
SEM005,020320,020320,SEM005-020320
SEM046,020321,020321,SEM046-020321
SCRE026,020321,020321,SCRE026-020321
SCRE025,020321,020321,SCRE025-020321
SEM053,020321,020321,SEM053-020321
SCRE020,020321,020321,SCRE020-020321
SCRE022,020321,020321,SCRE022-020321
SEM095,020322,020322,SEM095-020322
SCRE044,020322,020322,SCRE044-020322
SEM093,020322,020322,SEM093-020322
SCRE010,020322,020322,SCRE010-020322
FPER035,020322,020322,FPER035-020322
FPOS008,020322,020322,FPOS008-020322
SEM085,020322,020322,SEM085-020322
SCRE036,020322,020322,SCRE036-020322
SCRE045,020322,020322,SCRE045-020322
SCRE054,020323,020323,SCRE054-020323
SCRE046,020323,020323,SCRE046-020323
SEM086,020323,020323,SEM086-020323
SEM101,020323,020323,SEM101-020323
SEM088,020323,020323,SEM088-020323
SCRE052,020323,020323,SCRE052-020323
SEM087,020323,020323,SEM087-020323
SCRE047,020323,020323,SCRE047-020323
SCRE038,020323,020323,SCRE038-020323
FCAR019,020324,020324,FCAR019-020324
SEM071,020324,020324,SEM071-020324
SEM005,020324,020324,SEM005-020324
FCAR047,020325,020325,FCAR047-020325
FPOS005,020325,020325,FPOS005-020325
SCRE047,020325,020325,SCRE047-020325
SEM127,020325,020325,SEM127-020325
SEM095,020325,020325,SEM095-020325
SCRE046,020325,020325,SCRE046-020325
SEM009,020419,020419,SEM009-020419
FCAR034,020419,020419,FCAR034-020419
FCAR021,020419,020419,FCAR021-020419
SEM033,020419,020419,SEM033-020419
FCAR001,020419,020419,FCAR001-020419
SEM032,020419,020419,SEM032-020419
SEM082,020422,020422,SEM082-020422
FPOS010,020422,020422,FPOS010-020422
FCAR012,020422,020422,FCAR012-020422
SEM101,020424,020424,SEM101-020424
SEM127,020424,020424,SEM127-020424
SEM005,020424,020424,SEM005-020424
SCRE047,020424,020424,SCRE047-020424
FPOS005,020424,020424,FPOS005-020424
SEM047,020424,020424,SEM047-020424
SCRE046,020424,020424,SCRE046-020424
SCRE049,020424,020424,SCRE049-020424
SCRE010,020424,020424,SCRE010-020424
SEM096,020424,020424,SEM096-020424
SCRE036,020424,020424,SCRE036-020424
SCRE048,020424,020424,SCRE048-020424
