componente,coste_componente_unitario,lote_componente
MAUX020,0.2328,2112-044
MAUX021,1.4681,2112-045
MAT230,15.2,2112-046
MAT056,0.65,2112-047
VAR440,0.0585,2112-048
VAR443,0.0585,2112-049
VAR425,0.0585,2112-050
MAUX008,0.0585,2112-051
MAUX009,0.0585,2112-052
MAT027,0.8,2112-053
VAR420,3.1415,2112-054
VAR444,0.0037,2112-055
MAT137,4.9,2112-056
MAT296,3.85,2112-057
MAT297,5.9,2112-058
MAT269,7.8,2112-059
MAT178,7.957,2112-060
MAT166,3.68,2112-061
MAT154,2.43,2112-062
MAT313,57.1273,2112-063
MAT234,7.1,2112-064
MAT290,6.2,2112-065
MAT345,2.95,2112-066
VAR119,0.0965,2112-067
MAT324,0.67,2112-068
MAT292,0.0714,2112-069
MAT290,6.9,2112-070
MAT101,0.78,2112-071
MAT271,5.32,2112-072
MAT039,23.0,2112-073
MAT021,1.37,2112-074
MAT343,1.2992,2112-075
MAT323,10.2774,2112-076
MAT315,32.795,2112-077
MAT033,0.8055,2112-078
MAT339,1.95,2112-079
MAT344,0.99,2112-080
MAT278,0.73,2112-081
MAT292,0.0714,2112-082
MAT041,1.54,2112-083
MAT039,17.07,2112-084
MAT048,6.4,2112-085
MAT137,4.9,2112-086
MAUX020,0.2328,2112-087
MAUX021,1.4681,2112-088
MAT243,1.913,2112-089
MAT229,18.605,2112-090
MAT319,26.0,2112-091
MAT067,10.0,2112-092
MAT326,3.0,2112-093
MAT327,1.148,2112-094
MAT241,0.792,2112-095
MAT242,1.94,2112-096
MAT333,2.3,2112-097
MAT317,3.8,2112-098
MAT316,4.89,2112-099
MAT296,3.85,2112-100
MAUX016,0.0012,2112-101
MAUX023,0.0012,2112-102
MAT336,4.1477,2112-103
MAT337,3.9772,2112-104
MAT183,0.0205,2112-105
MAT286,1.1,2112-106
MAT329,2.35,2112-107
MAT187,3.45,2112-108
MAT178,7.957,2112-109
MAT039,23.0,2112-110
MAT040,2.45,2112-111
MAT035,6.5,2112-112
MAT265,3.0,2112-113
MAT346,0.626,2112-114
MAT073,1.18,2112-115
MAT294,0.152,2112-116
MAT132,8.908,2112-117
MAT322,12.871,2112-118
MAT310,0.1698,2112-119
MAT308,0.1698,2112-120
MAT309,0.1698,2112-121
MAT071,6.1,2112-122
MAT018,9.335,2112-123
MAT262,6.959,2112-124
MAT271,5.32,2112-125
MAT347,4.913,2112-126
MAT290,6.9,2112-127
VAR417,0.0157,2112-128
VAR444,0.0037,2112-129
MAT334,0.78,2112-130
MAT300,0.7,2112-131
MAT056,0.65,2112-132
MAT056,0.65,2112-133
MAT343,1.2992,2112-134
MAT325,3.17,2112-135
MAT302,19.0,2112-136
VAR420,3.1415,2112-137
VAR142,0.3606,2112-138
VAR118,0.2805,2112-139
MAUX014,0.2438,2112-140
MAUX015,0.1166,2112-141
MAT282,0.8,2112-142
MAT039,23.0,2112-143
MAUX024,0.093,2112-144
MAT300,0.7,2112-145
MAT315,32.795,2112-146
MAT243,1.913,2112-147
MAT296,3.85,2112-148
MAT241,0.792,2112-149
MAT306,11.5,2112-150
MAT297,5.9,2112-151
MAT305,4.2,2112-152
MAT298,4.3,2112-153
MAT257,3.6,2112-154
MAT328,4.929,2112-155
MAUX018,0.1056,2112-156
MAT285,2.93,2112-157
VAR356,0.45,2112-158
MAT158,2.2,2112-159
MAT339,1.95,2112-160
MAT113,3.8,2112-161
MAT048,6.0,2112-162
MAT330,0.3926,2112-163
MAT315,32.795,2112-164
VAR420,3.1415,2112-165
MAT056,0.65,2112-166
MAT147,0.0304,2112-167
MAT277,3.6833,2112-168
MAT286,1.1,2112-169
MAT296,3.85,2112-170
MAT242,1.94,2112-171
MAT327,1.148,2112-172
MAT241,0.792,2112-173
MAT306,11.8,2112-174
MAT295,5.7,2112-175
MAT305,4.2,2112-176
MAT271,5.32,2112-177
MAT270,5.628,2112-178
MAT257,3.6,2112-179
MAT290,6.9,2112-180
MAT113,3.8,2201-001
MAT304,4.43,2201-002
MAT178,7.957,2201-003
MAT268,5.45,2201-004
VAR444,0.0037,2201-005
MAUX024,0.093,2201-006
MAUX024,0.093,2201-007
MAUX024,0.093,2201-008
MAT292,0.07,2201-009
MAT035,6.5,2201-010
MAT290,6.2,2201-011
MAT132,8.908,2201-012
MAT239,0.763,2201-013
MAT321,0.0,2201-014
MAT334,0.78,2201-015
MAT056,0.65,2201-016
MAT314,4.2652,2201-017
MAT313,57.1266,2201-018
MAT315,32.795,2201-019
MAT343,1.2992,2201-020
MAT303,1.2991,2201-021
MAT312,1.7517,2201-022
MAT101,0.78,2201-023
MAT071,0.0,2201-024
MAT324,0.67,2201-025
MAT292,0.07,2201-026
MAT178,7.957,2201-027
MAT067,10.0,2201-028
MAT320,4.636,2201-029
MAT339,1.95,2201-030
MAT344,0.99,2201-031
MAT278,0.73,2201-032
MAT316,4.89,2201-033
MAT257,3.6,2201-034
MAT296,3.85,2201-035
MAT287,1.15,2201-036
MAT327,1.148,2201-037
MAT297,5.9,2201-038
MAT298,4.3,2201-039
MAT317,7.2,2201-040
MAT166,3.68,2201-041
MAUX020,0.2328,2201-042
MAUX021,1.4681,2201-043
MAT089,4.696,2201-044
MAT332,4.567,2201-045
MAT262,6.959,2201-046
MAT222,5.606,2201-047
MAT284,14.741,2201-048
MAT021,1.62,2201-049
MAT311,2.49,2201-050
MAT311,3.99,2201-051
MAT290,6.2,2201-052
MAT311,1.6,2201-053
MAT132,8.908,2201-054
VAR420,3.33,2201-055
MAT339,1.95,2201-056
MAT325,3.26,2201-057
MAT035,6.5,2201-058
MAT290,6.4,2201-059
MAUX025,1.035,2201-060
MAT268,5.45,2201-061
MAT325,3.28,2201-062
MAT340,19.9,2201-063
MAT257,3.6,2201-064
MAT056,0.65,2201-065
MAT178,7.957,2201-066
MAT038,5.35,2201-067
MAT329,2.35,2201-068
MAT286,1.1,2201-069
MAT325,3.26,2201-070
MAT290,6.2,2201-071
MAT296,3.85,2201-072
MAT242,1.94,2201-073
MAT333,2.3,2201-074
MAT241,0.792,2201-075
MAT348,5.15,2201-076
MAT303,1.2992,2201-077
MAT343,1.2992,2201-078
MAT302,19.0,2201-079
MAT334,0.78,2201-080
MAUX002,0.385,2201-081
MAT017,0.2416,2201-082
MAT344,0.99,2201-084
MAT101,0.78,2201-085
MAT041,1.54,2201-086
MAT317,3.8,2201-087
MAT241,0.792,2201-088
MAT316,4.89,2201-089
VAR420,3.33,2201-090
MAT324,0.67,2201-091
VAR444,0.0037,2201-092
VAR423,0.2461,2201-093
MAT048,6.0,2201-094
MAT101,0.78,2201-095
MAUX020,0.2328,2201-096
MAUX021,1.4681,2201-097
MAT296,3.85,2201-098
MAT242,1.94,2201-099
MAT290,6.2,2201-100
MAT234,7.1,2201-101
MAT327,1.148,2201-102
MAT241,0.792,2201-103
MAT292,0.07,2201-104
MAT144,0.0165,2201-105
MAT239,0.763,2201-106
MAT154,2.43,2201-107
MAT321,0.0,2201-108
MAT035,6.5,2201-109
MAT242,1.94,2201-110
MAT287,1.15,2201-111
MAT241,0.792,2201-112
VAR440,0.051,2201-113
MAUX012,0.051,2201-114
MAUX009,0.051,2201-115
MAUX008,0.051,2201-116
MAT035,6.4,2201-117
MAT339,1.95,2201-118
MAT262,6.959,2201-119
MAT271,5.32,2201-120
MAT278,0.73,2201-121
MAT277,3.6833,2201-122
MAT166,3.68,2201-123
MAT265,3.0,2201-124
MAT113,3.5,2201-125
MAT161,3.2,2201-126
MAT292,0.07,2201-127
MAT039,23.0,2202-001
MAT174,2.0,2202-002
MAT307,4.214,2202-003
MAT334,0.78,2202-004
MAT166,3.68,2202-005
MAUX020,0.2328,2202-006
MAUX021,1.4681,2202-007
MAT344,0.99,2202-008
MAT278,0.73,2202-009
MAUX017,0.052,2202-010
MAT343,1.2992,2202-011
MAT269,7.8,2202-012
MAUX025,1.035,2202-013
MAT033,0.8055,2202-014
MAT340,19.9,2202-015
MAT325,3.28,2202-016
MAT296,3.85,2202-017
MAT317,3.8,2202-018
MAT241,0.792,2202-019
MAT287,1.15,2202-020
MAT242,1.94,2202-021
VAR420,3.33,2202-022
MAT339,1.95,2202-023
MAT239,0.882,2202-024
MAT323,11.4161,2202-025
MAT312,2.03,2202-026
MAT313,57.1272,2202-027
MAT229,18.605,2202-028
MAT319,26.0,2202-029
MAT324,0.67,2202-030
MAT166,3.68,2202-031
MAT013,2.2889,2202-032
MAT021,1.62,2202-033
MAT196,0.126,2202-034
MAT129,3.6667,2202-035
MAT130,2.5641,2202-036
MAT286,1.25,2202-037
MAT278,0.73,2202-038
MAT344,0.99,2202-039
MAT042,4.0,2202-040
MAT228,3.3,2202-041
MAT345,2.95,2202-042
MAUX024,0.076,2202-043
MAT339,1.95,2202-044
MAT158,2.8,2202-045
MAT300,0.7,2202-046
MAT056,0.65,2202-047
MAT284,14.741,2202-048
MAT262,6.959,2202-049
MAT270,5.628,2202-050
MAT316,4.89,2202-051
MAT333,2.3,2202-052
MAT320,4.88,2202-053
MAT319,26.0,2202-054
MAT292,0.07,2202-055
MAT233,4.657,2202-056
MAT318,4.8288,2202-057
MAT334,0.78,2202-058
MAT132,9.5,2202-059
MAT239,0.882,2202-060
VAR420,3.33,2202-061
VAR444,0.0037,2202-062
MAT035,6.5,2202-063
MAT113,3.6,2202-064
MAT290,6.2,2202-065
VAR443,0.0585,2202-066
MAUX020,0.2328,2202-067
MAUX021,1.4681,2202-068
MAT021,1.62,2202-069
MAT021,1.62,2202-070
MAT317,5.4,2202-071
MAT260,13.9,2202-072
MAT343,1.2992,2202-073
MAT303,1.2992,2202-074
MAT292,0.07,2202-075
MAUX020,0.2328,2202-076
MAUX010,0.0585,2202-077
VAR431,0.0585,2202-078
VAR425,0.0585,2202-079
MAT296,4.17,2202-080
MAT296,2.986,2202-081
MAT339,1.95,2202-082
MAT314,15.7556,2202-083
MAT246,3.67,2202-084
MAT262,6.959,2202-085
MAT334,0.78,2202-086
MAT257,3.6,2202-087
MAT327,1.148,2202-088
MAT333,2.3,2202-089
MAT241,0.792,2202-090
MAT348,5.15,2202-091
MAT242,1.94,2202-093
MAT104,0.0399,2202-094
MAT017,0.2416,2202-095
MAT290,6.9,2202-096
MAT325,3.28,2202-097
MAT048,6.5,2202-098
MAT187,3.2,2202-099
MAT313,57.1306,2202-100
MAT315,32.795,2202-101
MAT314,4.2651,2202-102
VAR444,0.0037,2202-103
MAT298,4.3,2202-104
VAR408,10.5,2202-105
VAR121,1.39,2202-106
MAUX018,0.3189,2202-107
MAT261,16.0,2202-108
MAT265,2.0,2202-109
VAR113,0.0097,2202-110
MAT021,1.62,2202-111
MAT340,19.9,2202-112
MAT139,7.55,2202-113
MAT330,0.3926,2202-114
MAT315,32.795,2202-115
MAT302,19.0,2202-116
MAT233,4.657,2202-117
MAT178,8.657,2202-118
MAT021,1.62,2202-119
MAT308,0.1652,2202-120
MAT310,0.1652,2202-121
MAT309,0.1652,2202-122
MAT324,0.67,2202-123
MAT137,4.9,2202-124
MAT257,3.6,2202-125
MAT298,4.3,2202-126
MAT317,5.4,2202-127
MAT039,17.5,2202-128
MAT113,3.6,2202-129
MAT056,0.65,2202-130
MAT334,0.78,2202-131
MAT339,1.95,2202-132
MAUX024,0.093,2202-133
MAT321,0.0,2202-134
MAUX020,0.2328,2202-135
MAUX021,1.4681,2202-136
MAT302,19.0,2202-137
MAT257,3.6,2202-138
MAT333,2.3,2202-139
MAT181,10.74,2202-140
MAUX017,0.049,2202-141
MAUX027,0.049,2202-142
MAUX028,0.049,2202-143
MAT324,0.67,2202-144
MAT292,0.07,2202-145
MAT334,0.78,2202-146
MAT300,0.7,2202-147
MAT021,1.62,2202-148
MAT344,1.006,2202-149
MAT048,6.6,2202-150
MAT243,1.798,2202-151
VAR444,0.0037,2202-152
MAT290,6.2,2202-153
MAUX021,1.4681,2202-154
MAT327,1.148,2203-001
MAT333,2.3,2203-002
MAT316,4.89,2203-003
MAT297,5.9,2203-004
MAT348,5.15,2203-005
MAUX025,1.035,2203-006
MAT048,6.5,2203-007
MAUX002,0.385,2203-008
MAT349,6.711,2203-009
MAT268,6.8467,2203-010
MAT334,0.78,2203-011
MAT328,4.929,2203-012
MAT018,9.335,2203-013
MAT262,6.959,2203-014
MAT339,2.07,2203-015
MAT333,2.3,2203-016
MAT178,8.657,2203-017
MAT035,7.75,2203-018
MAT027,0.8,2203-019
MAT324,0.67,2203-020
MAT033,0.8541,2203-021
MAUX020,0.2328,2203-022
MAT234,7.1,2203-023
MAUX021,1.4681,2203-024
MAT319,26.0,2203-025
MAT345,2.95,2203-026
MAT021,1.62,2203-027
MAT312,2.03,2203-028
MAT166,3.93,2203-029
VAR424,0.1843,2203-030
MAUX026,0.1843,2203-031
MAT344,1.006,2203-032
MAT067,10.0,2203-033
MAT004,0.1056,2203-035
MAT296,2.986,2203-036
MAUX030,0.0332,2203-037
MAT132,9.5,2203-038
MAT316,4.89,2203-039
MAT040,2.45,2203-040
MAT292,0.0735,2203-041
VAR142,0.3822,2203-042
VAR444,0.0037,2203-043
VAR460,0.49,2203-044
MAT154,3.0,2203-045
MAT137,4.9,2203-046
MAT021,1.62,2203-047
MAT013,2.2889,2203-048
MAT269,7.8,2203-049
MAT056,0.65,2203-050
MAUX024,0.093,2203-051
MAT340,19.9,2203-052
MAT038,5.35,2203-053
MAT073,1.06,2203-054
MAT290,6.2,2203-055
MAT033,0.8541,2203-056
MAT026,0.5549,2203-057
MAT158,2.5,2203-058
MAT326,3.3,2203-059
MAT048,6.9,2203-060
MAT071,6.44,2203-061
MAT343,1.2992,2203-062
MAT314,6.1125,2203-063
MAT334,0.78,2203-064
MAT183,0.0205,2203-065
MAT060,1.961,2203-066
MAT339,2.07,2203-067
MAT035,6.5,2203-068
MAT178,8.657,2203-069
MAT332,4.567,2203-070
MAT166,3.93,2203-071
MAT327,1.148,2203-072
MAT333,2.3,2203-073
MAT290,7.4,2203-074
MAT039,23.0,2203-075
MAT337,4.119,2203-076
VAR119,0.1033,2203-077
MAT147,0.0304,2203-078
MAUX020,0.2328,2203-079
MAUX021,1.4681,2203-080
MAT197,6.5,2203-081
MAT137,4.9,2203-082
MAT271,5.32,2203-083
MAT347,4.913,2203-084
MAT349,6.711,2203-085
MAT284,15.4777,2203-086
MAT329,3.8,2203-087
MAT101,0.78,2203-088
VAR400,179.2,2203-089
VAR420,3.33,2203-090
MAT302,19.0,2203-091
MAT154,3.0,2203-092
MAT021,1.62,2203-093
MAT320,4.88,2203-094
MAT181,10.74,2203-095
MAT292,0.0735,2203-097
MAT290,7.4,2203-098
MAT334,0.78,2203-099
MAT324,0.64,2203-100
MAT234,7.1,2203-101
MAT277,3.94,2203-102
MAT325,3.45,2203-103
MAT241,0.792,2203-104
MAT348,5.15,2203-105
MAT257,3.6,2203-106
MAT260,10.9,2203-107
MAT234,7.1,2203-108
MAT243,1.8,2203-109
MAUX020,0.2328,2203-110
MAUX021,1.4681,2203-111
VAR444,0.0037,2203-112
MAT038,5.3,2203-113
VAR417,0.016,2203-114
MAT139,7.55,2203-115
MAT027,0.8,2203-116
MAT265,3.0,2203-117
MAT050,2.37,2203-118
MAT248,4.88,2203-119
MAT292,0.0735,2203-120
MAT230,13.8,2203-121
MAT178,9.257,2203-122
MAT334,0.78,2203-123
MAT300,0.7,2203-124
MAT290,6.2,2203-125
MAT234,8.5,2203-126
MAT339,2.07,2203-127
MAT067,10.0,2203-128
MAT028,4.8778,2203-129
MAT035,7.75,2203-130
MAT325,4.01,2203-131
MAT149,3.0,2203-132
MAT018,9.335,2203-133
MAT222,5.606,2203-134
MAT270,5.628,2203-135
MAT349,6.711,2203-136
MAT048,6.75,2203-137
MAT336,2.8877,2203-138
MAT344,1.006,2203-139
MAT278,0.796,2203-140
MAT039,23.0,2203-141
VAR129,0.5825,2203-142
MAT089,5.664,2203-143
MAUX020,0.2328,2203-144
MAUX021,1.4681,2203-145
MAT021,1.62,2203-146
MAT269,7.3985,2203-147
MAT262,6.959,2203-148
VAR444,0.0037,2203-149
MAT297,5.9,2203-150
MAT333,2.3,2203-151
MAT298,4.3,2203-152
MAT257,3.6,2203-153
MAT033,0.89,2203-154
MAT017,0.2416,2203-155
MAT074,5.28,2203-156
MAT292,0.0735,2203-157
MAUX017,0.0525,2203-158
MAUX012,0.0525,2203-159
VAR443,0.0525,2203-160
VAR441,0.0525,2203-161
VAR440,0.0525,2203-162
MAT290,7.3,2203-163
MAT040,2.45,2203-164
MAT149,4.0,2203-165
MAT071,6.44,2203-166
MAT154,3.0,2203-167
MAUX001,0.231,2203-168
MAUX025,1.06,2204-001
MAUX002,0.385,2204-002
MAT021,1.62,2204-003
MAUX024,0.0827,2204-004
MAT048,6.75,2204-005
MAT005,0.1773,2204-006
VAR444,0.0037,2204-007
MAT345,2.95,2204-008
MAT187,3.45,2204-009
MAT290,7.3,2204-010
MAT048,6.75,2204-011
MAUX029,0.1844,2204-012
MAT326,3.5,2204-013
MAT035,7.4,2204-014
MAT181,10.74,2204-015
MAT048,6.75,2204-016
MAT183,0.0205,2204-017
MAUX016,0.0012,2204-018
MAT147,0.039,2204-019
MAT339,2.07,2204-020
MAT028,5.8533,2204-021
MAT282,0.8,2204-022
MAT154,3.0,2204-023
MAT028,5.8533,2204-024
MAT228,4.6,2204-025
MAT303,1.2992,2204-026
VAR420,3.8295,2204-027
MAUX020,0.2328,2204-028
MAUX021,1.4681,2204-029
MAT278,0.796,2204-030
MAT344,1.006,2204-031
MAT343,1.2992,2204-032
MAT056,0.65,2204-033
MAT284,15.4777,2204-034
MAT349,6.711,2204-035
MAT287,1.15,2204-036
MAT242,1.94,2204-037
MAT241,0.792,2204-038
MAT340,19.9,2204-039
MAT033,0.89,2204-040
MAT017,0.2416,2204-041
MAT344,1.006,2204-042
MAT278,0.796,2204-043
MAT344,1.006,2204-044
MAT278,0.796,2204-045
MAT137,4.9,2204-046
VAR444,0.0037,2204-047
MAT334,0.78,2204-048
MAT239,0.613,2204-049
MAT322,13.42,2204-050
MAT292,0.0862,2204-051
MAT073,1.06,2204-052
MAT265,3.0,2204-053
MAT296,2.986,2204-054
MAT017,0.2416,2204-055
VAR444,0.0037,2204-056
MAUX020,0.2328,2204-057
MAUX021,1.4681,2204-058
MAT028,5.8533,2204-059
MAT074,5.28,2204-060
MAUX023,0.0012,2204-061
MAT292,0.0799,2204-062
MAT336,4.1477,2204-063
MAT278,0.796,2204-064
MAT344,1.006,2204-065
MAT278,0.796,2204-066
MAT344,1.006,2204-067
MAT149,4.5,2204-068
MAT039,23.0,2204-069
MAT027,0.8,2204-070
MAT234,8.5,2204-071
MAT290,7.3,2204-072
MAT290,7.3,2204-073
MAT234,8.5,2204-074
MAT268,6.94,2204-075
MAUX030,0.0332,2204-076
MAT228,4.6,2204-077
MAT042,5.5,2204-078
MAT174,2.0,2204-079
MAT048,6.75,2204-080
MAT320,4.88,2204-081
MAT056,0.65,2204-082
VAR398,0.0458,2204-083
MAUX020,0.2328,2204-084
MAUX021,1.4681,2204-085
MAUX008,0.0642,2204-086
MAUX009,0.0642,2204-087
MAUX012,0.0642,2204-088
MAUX017,0.0642,2204-089
MAT339,2.07,2204-090
MAT161,4.09,2204-091
MAT067,10.3359,2204-092
MAT343,1.2992,2204-093
MAT233,5.707,2204-094
MAT021,1.6199,2204-095
VAR119,0.1033,2204-096
MAT261,16.0,2204-097
MAT350,1.0,2204-098
MAT257,3.6,2204-099
MAT230,13.8,2204-100
MAT302,19.0,2204-101
MAT118,10.93,2204-102
VAR444,0.0037,2204-103
MAT334,0.78,2204-104
MAT183,0.0205,2204-105
MAT352,4.858,2204-106
MAT278,0.796,2204-107
MAT344,1.006,2204-108
VAR056,18.38,2204-109
MAT290,6.8,2204-110
MAT234,7.4,2204-111
MAT113,4.5,2204-112
MAT174,2.03,2204-113
MAT354,2.5464,2204-114
MAUX014,0.2972,2204-115
MAUX015,0.1421,2204-116
MAT286,2.13,2205-001
VAR444,0.0037,2205-002
MAT132,10.15,2205-003
MAT248,5.8512,2205-004
VAR122,7.35,2205-005
VAR123,5.25,2205-006
MAUX020,0.2328,2205-007
MAUX021,1.4681,2205-008
MAT345,3.07,2205-009
MAT158,3.0,2205-010
MAT048,6.75,2205-011
MAT300,0.7,2205-012
MAT132,10.15,2205-013
MAT242,1.94,2205-014
MAT241,0.792,2205-015
MAT348,5.15,2205-016
MAT039,23.0,2205-017
MAT021,2.35,2205-018
MAT248,5.85,2205-019
MAT299,4.6198,2205-020
MAT154,3.0,2205-021
MAT113,4.5,2205-022
MAT104,0.0399,2205-023
MAT292,0.0714,2205-024
MAT318,4.8113,2205-025
MAT312,2.03,2205-026
MAT353,2.6,2205-027
MAT313,57.12,2205-028
MAUX017,0.046,2205-029
MAT318,5.0915,2205-030
MAT071,6.44,2205-031
MAT311,4.19,2205-032
MAT050,2.37,2205-033
VAR056,18.38,2205-034
MAT336,4.4431,2205-035
MAT229,18.67,2205-036
VAR440,0.046,2205-037
MAUX008,0.046,2205-038
MAUX009,0.046,2205-039
MAUX012,0.046,2205-040
MAUX010,0.046,2205-041
MAT292,0.0862,2205-042
MAT271,5.32,2205-043
MAT262,6.959,2205-044
VAR119,0.1033,2205-045
MAT319,26.0,2205-046
MAT038,6.9,2205-047
MAUX025,1.06,2205-048
VAR444,0.0037,2205-049
MAT334,0.78,2205-050
MAT137,4.9,2205-051
MAT311,1.6,2205-052
MAUX020,0.2328,2205-053
MAUX021,1.4681,2205-054
MAT316,4.89,2205-055
MAT257,3.6,2205-056
MAT307,4.214,2205-057
MAT028,5.8556,2205-058
MAT326,3.4,2205-059
MAT337,4.5114,2205-060
MAT230,13.8,2205-061
MAT178,9.657,2205-062
MAT304,4.71,2205-063
MAT129,3.6667,2205-064
MAT313,57.1262,2205-065
MAT234,7.4,2205-066
MAT074,5.28,2205-067
MAT048,6.75,2205-068
MAT166,4.11,2205-069
MAT035,7.75,2205-070
MAT284,15.4777,2205-071
MAT067,10.5,2205-072
MAT039,23.0,2205-073
MAT197,6.5,2205-074
MAT038,6.8,2205-075
MAT187,3.05,2205-076
MAT343,1.2992,2205-077
MAT013,2.4263,2205-078
MAT292,0.0799,2205-079
MAT021,2.358,2205-080
MAT339,2.0,2205-081
MAT234,8.5,2205-082
MAT056,0.65,2205-083
MAT147,0.039,2205-084
MAT132,10.15,2205-085
VAR356,0.49,2205-086
MAT071,6.44,2205-087
MAUX020,0.2328,2205-088
MAUX021,1.4681,2205-089
MAT269,7.3986,2205-090
MAT033,1.1069,2205-091
MAT021,2.35,2205-092
MAT130,2.9167,2205-093
MAT340,19.9,2205-094
MAT027,0.8009,2205-095
VAR420,3.8295,2205-096
MAT334,0.78,2205-097
MAT149,4.5,2205-098
MAT028,6.0667,2205-099
VAR444,0.0037,2205-100
MAT339,2.0,2205-101
MAT039,23.0,2205-102
MAT265,3.0,2205-103
MAT321,0.0,2205-104
MAT176,6.832,2205-105
MAT067,11.0,2205-106
MAT139,7.55,2205-107
MAT132,10.15,2205-108
VAR444,0.0037,2205-109
MAT048,7.85,2205-110
MAUX020,0.2328,2205-111
MAUX021,1.4681,2205-112
MAT137,4.9,2205-113
MAT228,4.6,2205-114
MAT292,0.0799,2205-115
MAT327,1.148,2205-116
MAT333,2.3,2205-117
MAT297,5.9,2205-118
VAR424,0.2657,2205-119
MAT270,5.628,2205-120
MAUX024,0.0863,2205-121
MAT309,0.19,2205-122
MAT308,0.19,2205-123
MAT132,10.43,2205-124
MAT334,0.78,2205-125
MAT056,0.65,2205-126
MAT042,5.3,2205-127
MAT339,2.0,2205-128
MAT183,0.0205,2205-129
MAT326,3.3,2205-130
MAT290,6.9,2205-131
VAR444,0.0037,2205-132
MAT320,4.88,2205-133
MAUX020,0.2328,2205-134
MAUX021,1.4681,2205-135
MAT132,10.43,2205-136
MAT073,1.06,2205-137
MAT026,0.5549,2205-138
MAT330,0.4045,2205-139
MAT315,43.62,2205-140
MAT312,2.03,2205-141
MAT354,2.5127,2205-142
MAT334,0.78,2205-143
MAT344,1.08,2205-144
MAT229,18.67,2205-145
MAT229,18.67,2206-001
MAT149,4.4,2206-002
MAT021,2.35,2206-003
MAT154,3.0,2206-004
MAT048,7.1,2206-005
MAT310,0.19,2206-006
MAT350,1.0,2206-007
MAT242,1.94,2206-008
MAT333,2.3,2206-009
MAT241,0.792,2206-010
MAT039,23.0,2206-012
MAT334,0.78,2206-013
MAUX017,0.05,2206-014
MAUX032,0.05,2206-015
MAUX008,0.05,2206-016
MAUX012,0.05,2206-017
MAUX009,0.05,2206-018
MAUX027,0.05,2206-019
MAUX028,0.05,2206-020
MAT048,7.1,2206-021
MAT286,2.13,2206-022
MAT329,3.804,2206-023
MAT178,9.657,2206-024
MAT296,2.986,2206-025
VAR423,0.2584,2206-026
VAR142,0.3879,2206-027
VAR118,0.3419,2206-028
MAUX025,1.06,2206-029
VAR119,0.1033,2206-030
VAR444,0.0037,2206-031
MAT067,11.0,2206-032
MAT056,0.65,2206-033
VAR142,0.388,2206-034
VAR118,0.3419,2206-035
MAUX020,0.2328,2206-036
MAUX021,1.4681,2206-037
MAT166,4.11,2206-038
MAT353,2.6,2206-039
MAT038,6.8,2206-040
MAT336,4.4431,2206-041
MAT344,1.08,2206-042
MAT326,3.3,2206-043
MAT033,1.1069,2206-044
MAT017,0.2416,2206-045
VAR420,3.8295,2206-046
MAT028,5.8533,2206-047
MAT035,7.6,2206-048
MAT343,1.2992,2206-049
MAT313,67.5371,2206-050
MAT158,2.75,2206-051
MAT050,2.37,2206-052
MAT302,19.0,2206-053
MAT318,5.0915,2206-054
MAT292,0.0799,2206-055
VAR444,0.0037,2206-056
MAT233,5.707,2206-057
MAT345,3.07,2206-058
MAT262,6.959,2206-059
MAT222,5.606,2206-060
MAT352,4.858,2206-061
MAT349,6.854,2206-062
MAT246,3.67,2206-063
MAUX020,0.2328,2206-064
MAUX021,1.4681,2206-065
MAT021,2.35,2206-066
MAT334,0.78,2206-067
MAT327,1.148,2206-068
MAT333,2.3,2206-069
MAT297,5.9,2206-070
MAT038,6.8,2206-071
MAT340,19.9,2206-072
VAR113,0.0097,2206-073
MAUX033,0.0135,2206-074
MAT307,4.214,2206-075
MAT328,4.929,2206-076
MAT271,5.32,2206-077
MAT137,4.9,2206-078
MAT033,1.1069,2206-079
MAT104,0.0399,2206-080
MAT328,4.929,2206-081
MAT323,12.8145,2206-083
MAT311,1.6,2206-084
MAT277,3.94,2206-085
MAT181,10.74,2206-086
MAT329,3.804,2206-087
MAUX024,0.0863,2206-088
MAUX020,0.2328,2206-089
MAUX021,1.4681,2206-090
MAT048,7.1,2206-091
MAT013,3.12,2206-092
MAT269,7.0459,2206-093
MAT038,6.8,2206-094
MAT035,7.75,2206-095
MAT154,3.0,2206-096
VAR444,0.0037,2206-097
MAT196,0.126,2206-098
VAR400,193.9,2206-099
MAT334,0.78,2206-100
MAT290,6.9,2206-101
MAT290,6.9,2206-102
MAT355,2.295,2206-103
MAT326,3.3,2206-104
MAT345,3.07,2206-105
MAT292,0.0799,2206-106
VAR444,0.0037,2206-107
MAT321,0.0,2206-108
MAT060,0.8769,2206-109
MAUX020,0.2328,2206-110
MAUX021,1.4681,2206-111
VAR444,0.0037,2206-112
MAT048,7.1,2206-113
MAT021,2.05,2206-114
MAT343,1.2992,2206-115
MAT312,2.03,2206-116
MAT071,6.69,2206-117
MAT332,4.567,2206-118
VAR444,0.0037,2206-119
MAT242,1.94,2206-120
MAT241,0.792,2206-121
MAT233,5.707,2206-122
MAT344,1.012,2206-123
MAT343,1.2992,2206-124
MAUX030,0.0332,2206-125
MAT261,16.0,2206-126
MAT262,6.959,2206-127
VAR121,1.47,2206-128
MAT309,0.19,2206-129
MAUX025,1.06,2206-130
