Cód. artículo;Artículo;Tipo unidad (Obsoleto);Precio estándar;Precio compra;Ultimo precio compra;Familia;Línea;Tipo;Obsoleto;Peso;Peso neto artículo;
FCAR047;RABO DE VACUNO CON SETAS (CAJA 10 uds x 350 gr);Uds;33,3266;0,0000;0;CARNES;FOODVAC;CONGELAD;No;3,83;0,35;
FCAR048;TERRINA DE CARRILLERA DE VACUNO CON RABO PLANCHA (2X2,35 KG);Uds;87,0906;0,0000;0;CARNES;FOODVAC;CONGELAD;No;7,392;2,35;
FCAR049;TERRINA DE CARRILLERA DE VACUNO CON RABO RACION (CAJA 16 UDS);Uds;61,1529;0,0000;0;CARNES;FOODVAC;CONGELAD;No;3,7255;0,17;
FCAR050;PECHUGA DE POLLO CONFITADA;Uds;67,4229;0,0000;0;CARNES;FOODVAC;REFRIGER;Si;11;;
FCAR051;TERRINA DE MELOSO MIXTA RACION (CAJA 16 uds);Uds;0,0000;0,0000;0;CARNES;FOODVAC;CONGELAD;Si;4,1;;
FCAR052;TERRINA DE MELOSO MIXTA PLANCHA (2x2.35 kg);Uds;0,0000;0,0000;0;CARNES;FOODVAC;CONGELAD;No;6,5;2,35;
FCAR053;PULLED PORK BBQ (Caja 8 uds X 500 gr);Cajas;28,7183;0,0000;0;CARNES;FOODVAC;CONGELAD;No;4,34;0,5;
FCAR054;CODILLO DE CERDO ENTERO CON PIEL (CAJA 3 UDS);Uds;0,0000;0,0000;0;CARNES;FOODVAC;CONGELAD;No;0;0,17;
FCAR055;MANITAS GUISADAS EN SALSA (CAJA 10 uds);Cajas;18,2706;0,0000;0;CARNES;FOODVAC;CONGELAD;No;4,04;0,4;
FCAR056;ALBONDIGAS DE VACUNO MADURADAS (CAJA 12 uds);Cajas;26,1286;0,0000;0;CARNES;FOODVAC;CONGELAD;No;3,464;0,26;
