;Almacén;Artículo;Descripción;Stock Unidades;Ubicación;Lote/Nº Serie;Lote Interno;Fecha Entrada;Proveedor;Caducidad;Entradas Previstas;Salidas Previstas;Fecha Salida Prevista
False;GENERAL;MAT161;CABEZA DE LOMO;0,00;MMPP CONG;12045100;2312-045;13/12/2023;CARNES FELIX, S.A.;24/10/2025;;;
False;GENERAL;MAT187;OREJA FLAT;0,00;MMPP CONG;E291123;2312-046;13/12/2023;INICIATIVAS COMERCIALES DADYMA,S.L.;29/05/2025;;;
False;GENERAL;VAR444;GAS BIOGON NC 30 (BATERÍA 12 BOTELLAS);0,00;EXPEDICIÓN;1074135892;2312-047;13/12/2023;LINDE GAS ESPAÑA SAU;;;;
False;GENERAL / 2;VAR423;CAJA BLANCA (6 UDS ESTUCHES);0,00;;1002014708;2312-048;14/12/2023;SAICA PACK SL;31/01/2099;;;
False;NAVE 5;VAR423;CAJA BLANCA (6 UDS ESTUCHES);0,00;EXPEDICIÓN;1002014708;2312-048;14/12/2023;SAICA PACK SL;31/01/2099;;;
False;GENERAL;VAR423;CAJA BLANCA (6 UDS ESTUCHES);0,00;EXPEDICIÓN;1002014708;2312-048;14/12/2023;SAICA PACK SL;31/01/2099;;;
False;GENERAL;VAR142;CAJAS CARTON B1 PEQUEÑA;0,00;EXPEDICIÓN;1002035937;2312-049;14/12/2023;SAICA PACK SL;31/01/2099;;;
False;GENERAL / 2;VAR142;CAJAS CARTON B1 PEQUEÑA;0,00;EXPEDICIÓN;1002035937;2312-049;14/12/2023;SAICA PACK SL;31/01/2099;;;
False;NAVE 5;VAR142;CAJAS CARTON B1 PEQUEÑA;0,00;EXPEDICIÓN;1002035937;2312-049;14/12/2023;SAICA PACK SL;31/01/2099;;;
False;GENERAL;MAT257;CALAMAR POTON DADOS 1X1 0%;0,00;MMPP CONG;013033-3;2312-050;14/12/2023;DISTRIBUIDORA LEVANTINA DE ALIMENTACIÓN, S.L.;01/03/2025;;;
False;GENERAL;MAT297;LANGOSTINO VANAMEY 50/60;0,00;MMPP CONG;PR0222322-2;2312-051;14/12/2023;DISTRIBUIDORA LEVANTINA DE ALIMENTACIÓN, S.L.;09/07/2024;;;
False;GENERAL;MAT333;ZANAHORIA BASTONES;0,00;MMPP CONG;2180/3208;2312-052;14/12/2023;DISTRIBUIDORA LEVANTINA DE ALIMENTACIÓN, S.L.;29/06/2024;;;
False;GENERAL;MAT348;GAMBA PELADA CHINA 70/100;0,00;MMPP CONG;FS026-1;2312-053;27/03/2024;DISTRIBUIDORA LEVANTINA DE ALIMENTACIÓN, S.L.;01/03/2026;;;
False;CONSUMO INTERNO I+D;MAT348;GAMBA PELADA CHINA 70/100;0,00;MMPP CONG;FS026-1;2312-053;27/03/2024;DISTRIBUIDORA LEVANTINA DE ALIMENTACIÓN, S.L.;01/03/2026;;;
False;GENERAL;MAT371;CARNE DE MEJILLON P;0,00;MMPP CONG;149-23/179-23;2312-054;27/03/2024;DISTRIBUIDORA LEVANTINA DE ALIMENTACIÓN, S.L.;01/02/2025;;;
False;CONSUMO INTERNO I+D;MAT371;CARNE DE MEJILLON P;0,00;MMPP CONG;149-23/179-23;2312-054;27/03/2024;DISTRIBUIDORA LEVANTINA DE ALIMENTACIÓN, S.L.;01/02/2025;;;
False;GENERAL;MAT312;SALSA DE SOJA;0,00;;151224;2312-055;14/12/2023;VALLE ALIMENTACION PROFESIONAL SL;27/07/2025;;;
False;NAVE 5;MAT312;SALSA DE SOJA;0,00;SECOS;151224;2312-055;14/12/2023;VALLE ALIMENTACION PROFESIONAL SL;27/07/2025;;;
False;NAVE 5;MAT313;ALGA NORI;0,00;SECOS;301124-1;2312-056;14/12/2023;VALLE ALIMENTACION PROFESIONAL SL;30/11/2024;;;
False;GENERAL;MAT313;ALGA NORI;0,00;SECOS;301124-1;2312-056;14/12/2023;VALLE ALIMENTACION PROFESIONAL SL;30/11/2024;;;
False;GENERAL;MAT323;ACEITE DE SESAMO;0,00;SECOS;151224;2312-057;14/12/2023;VALLE ALIMENTACION PROFESIONAL SL;15/12/2024;;;
False;NAVE 5;MAT323;ACEITE DE SESAMO;0,00;SECOS;151224;2312-057;14/12/2023;VALLE ALIMENTACION PROFESIONAL SL;15/12/2024;;;
False;GENERAL;MAT056;PATATA PANADERA;0,00;MMPP REF;94-1;2312-058;14/12/2023;PATATAS PELADAS GILFA S.L.;20/12/2023;;;
False;CARBÓ;MAT035;SECRETO DE CERDO IBERICO PAPADA;0,00;MMPP CONG;ALB-13122023;2312-059;14/12/2023;MARCIAL CASTRO SLU;17/11/2026;;;
False;GENERAL;MAT035;SECRETO DE CERDO IBERICO PAPADA;0,00;;ALB-13122023;2312-059;14/12/2023;MARCIAL CASTRO SLU;17/11/2026;;;
False;GENERAL;MAT178;PICAÑA DE VACUNO;0,00;MMPP REF;ALB-2023/01/0000838;2312-060;15/12/2023;ROCA 1927 SLU;05/01/2024;;;
False;GENERAL;MAT067;BACALAO;0,00;MMPP CONG;M-SA661-33725;2312-061;15/12/2023;EDERPESCA Y DERIVADOS SL;24/08/2025;;;
False;CONSUMO INTERNO I+D;MAT262;PIMENTON DULCE AHUMADO;0,00;;J1205124;2312-062;15/12/2023;MANUFACTURAS CEYLAN SL;31/12/2025;;;
False;NAVE 5;MAT262;PIMENTON DULCE AHUMADO;0,00;SECOS;J1205124;2312-062;15/12/2023;MANUFACTURAS CEYLAN SL;31/12/2025;;;
False;GENERAL;MAT262;PIMENTON DULCE AHUMADO;0,00;SECOS;J1205124;2312-062;15/12/2023;MANUFACTURAS CEYLAN SL;31/12/2025;;;
False;GENERAL;VAR444;GAS BIOGON NC 30 (BATERÍA 12 BOTELLAS);0,00;EXPEDICIÓN;10742231151;2312-063;15/12/2023;LINDE GAS ESPAÑA SAU;;;;
False;GENERAL;MAT132;ATUN LOMO;0,00;mmpp cong;L/014975;2312-064;15/12/2023;ECHEBASTAR FLEET, S.L.U.;06/01/2026;;;
False;GENERAL;MAT149;CARRILLERA CERDO INTERNA;0,00;MMPP CONG;3492/3493;2312-065;15/12/2023;FRISELVA, S.A.;04/12/2025;;;
False;GENERAL;MAT113;CORDERO RECENTAL (CUELLO);0,00;MMPP CONG;ALB-AV23/00173;2312-066;15/12/2023;DADYMA TRADING, S.L.;31/03/2025;;;
False;GENERAL;MAT234;CABEZA DE LOMO IBÉRICO (SC);0,00;MMPP CONG;ALB-VE2/293;2312-067;15/12/2023;GUIJUELO GOURMET SL;04/12/2025;;;
False;GENERAL;MAT035;SECRETO DE CERDO IBERICO PAPADA;0,00;MMPP CONG;ALB-VE2/293;2312-068;15/12/2023;GUIJUELO GOURMET SL;30/11/2025;;;
False;CARBÓ;MAT035;SECRETO DE CERDO IBERICO PAPADA;0,00;;ALB-VE2/293;2312-068;15/12/2023;GUIJUELO GOURMET SL;30/11/2025;;;
False;GENERAL;MAT392;CABECERO IBERICO MAQUILA GUIJUELO GOURMET;0,00;MMPP CONG;ALB-5;2312-069;15/12/2023;GUIJUELO GOURMET SL;04/12/2025;;;
False;NAVE 5;MAT389;HARINA 100% BOLETUS;0,00;SECOS;ALB-650778;2312-070;18/12/2023;CHAMPILAND SAS;01/08/2025;;;
False;GENERAL;MAT389;HARINA 100% BOLETUS;0,00;SECOS;ALB-650778;2312-070;18/12/2023;CHAMPILAND SAS;01/08/2025;;;
False;CONSUMO INTERNO I+D;MAT389;HARINA 100% BOLETUS;0,00;SECOS;ALB-650778;2312-070;18/12/2023;CHAMPILAND SAS;01/08/2025;;;
False;NAVE 5;MAT147;FLANERAS COULAND;0,00;SECOS;3900721-2;2312-071;18/12/2023;NATURAL PACK FOODS SL;01/01/2099;;;
False;GENERAL;MAT147;FLANERAS COULAND;0,00;SECOS;3900721-2;2312-071;18/12/2023;NATURAL PACK FOODS SL;01/01/2099;;;
False;NAVE 5;VAR129;CAJA CARTON VACUM 71*30*14.5;0,00;EXPEDICIÓN;1002029133;2312-072;19/12/2023;SAICA PACK SL;01/01/2099;;;
False;GENERAL / 2;VAR129;CAJA CARTON VACUM 71*30*14.5;0,00;EXPEDICIÓN;1002029133;2312-072;19/12/2023;SAICA PACK SL;01/01/2099;;;
False;GENERAL;VAR129;CAJA CARTON VACUM 71*30*14.5;0,00;EXPEDICIÓN;1002029133;2312-072;19/12/2023;SAICA PACK SL;01/01/2099;;;
False;GENERAL;MAT290;SECRETO DE CERDO IBERICO  BARRIGA ARROCES;0,00;MMPP CONG;346;2312-073;19/12/2023;PRODUCTOS IBERICOS CALDERON Y RAMOS SL;11/06/2025;;;
False;GENERAL;MAT278;ARROZ REDONDO CAT. EXTRA 25Kg;0,00;SECOS;181223;2312-075;19/12/2023;MAICERIAS ESPAÑOLAS SA (DACSA);18/12/2024;;;
